time,seconds_elapsed,z,y,x
1679441228694198000,15.276197998046875,-0.0700046795964241,-0.32764673100113867,-0.8228684351213276
1679441228704170000,15.286169921875,-0.3937497269839048,-0.43017303949594493,-0.9074874771341681
1679441228714142200,15.29614208984375,-0.8478884562179446,-0.5556991153061389,-0.8332552429705857
1679441228724114200,15.3061142578125,-0.6473349042132497,-0.7115338201403617,-0.727571493358165
1679441228734086100,15.316086181640625,0.03517915766984224,-0.7717407438218593,-0.6989326972424984
1679441228744058000,15.32605810546875,0.4568839362889528,-0.7431272282779217,-0.7173121112808585
1679441228754030000,15.336030029296875,0.26914894932508465,-0.756979812541604,-0.7749570755198597
1679441228764002000,15.346001953125,-0.07304039403051138,-0.8371604337155818,-0.7917625182397663
1679441228773974300,15.355974365234376,-0.039573008714616296,-0.879533010020852,-0.7354400347761809
1679441228783946000,15.365946044921875,0.26172259871661663,-0.7874877635300159,-0.6374053386121988
1679441228793918200,15.375918212890625,0.6173762576706707,-0.72701663595438,-0.5140773573681712
1679441228803890000,15.385889892578126,0.7715338230729103,-0.7993897982478141,-0.4267297671742737
1679441228813862100,15.395862060546875,0.635590398144722,-0.9119500095009804,-0.3270440889328718
1679441228823834000,15.405834228515625,0.5832090535223484,-0.9346914181411266,-0.20194296053647995
1679441228833806000,15.41580615234375,0.6569593493878841,-0.8009943108350038,-0.08153101286962627
1679441228843778000,15.425778076171875,0.6792214500784873,-0.5874415765255689,-0.07799626287221909
1679441228853750000,15.43575,0.6041783379234373,-0.35847032380998134,-0.14607318927645682
1679441228863722000,15.445721923828126,0.5590507638216018,-0.14239888467788694,-0.14463351186215875
1679441228873695200,15.4556953125,0.5941676699101924,-0.03725450263917446,-0.07450389071181417
1679441228883667000,15.4656669921875,0.8358885140836239,0.018785949012637138,0.08015724029839039
1679441228893639200,15.47563916015625,1.157635081130266,-0.05796703580021858,0.19931641142517328
1679441228903611100,15.485611083984375,1.338876614421606,-0.1400058520615101,0.05124941798299551
1679441228913583000,15.4955830078125,1.1453016692578792,-0.11058452726602554,-0.2940305848643184
